Name;Degrees;Intervals;# of pitch classes;Lower tetrachord;Upper tetrachord;Use of key signature usual or unusual;
Hirajoshi scale;1 3 ♯4 5 7;2W-W-H-2W-H;5;—;—;—;
Augmented scale;1 ♭3 3 5 ♯5 7;3H-H-3H-H-3H-H;6;—;—;;FALSE
Scale of harmonics;1 ♭3 3 4 5 6;3H-H-H-W-W-3H;—;—;—;—;FALSE
Hungarian major scale;1 ♯2 3 ♯4 5 6 ♭7;3H-H-W-H-W-H-W;7;—;minor;Unusual;FALSE
Blues scale;1 ♭3 4 ♭5 5 ♭7;3H-W-H-H-3H-W;6;—;—;;FALSE
Minor pentatonic scale Or Yo scale;1 ♭3 4 5 ♭7;3H-W-W-3H-W;5;—;—;Usual;FALSE
Iwato scale;1 ♭2 4 ♭5 ♭7;H-2W-H-2W-W;5;—;—;—;FALSE
Insen scale;1 ♭2 4 5 ♭7;H-2W-W-3H-W;5;—;—;—;FALSE
In scale;1 ♭2 4 5 ♭6;H-2W-W-H-2W;5;—;—;;FALSE
Persian scale;1 ♭2 3 4 ♭5 ♭6 7;H-3H-H-H-W-3H-H;7;harmonic;unusual;;FALSE
Double harmonic scale Or Flamenco mode;1 ♭2 3 4 5 ♭6 7;H-3H-H-W-H-3H-H;7;harmonic;harmonic;Unusual;FALSE
Phrygian dominant scale;1 ♭2 3 4 5 ♭6 ♭7;H-3H-H-W-H-W-W;7;harmonic;Phrygian;Unusual;FALSE
Tritone scale;1 ♭2 3 ♭5 5 ♭7;H-3H-W-H-3H-W;6;—;—;;FALSE
Enigmatic scale;1 ♭2 3 ♯4 ♯5 ♯6 7;H-3H-W-W-W-H-H;7;;;Unusual;FALSE
Two-semitone tritone scale;1 ♭2 ♮2 ♯4 5 ♭6;H-H-4H-H-H-4H;6;—;—;;FALSE
Chromatic scale;1 ♯1 2 ♯2 3 4 ♯4 5 ♯5 6 ♯6 7 7 ♭7 6 ♭6 5 ♭5 4 3 ♭3 2 ♭2 1;H-H-H-H-H-H-H-H-H-H-H-H;12;—;—;—;FALSE
Istrian scale;1 ♭2 ♭3 ♭4 ♭5 5;H-W-H-W-;6;diminished;—;—;FALSE
Octatonic scale 2;1 ♭2 ♭3 3 ♯4 5 6 ♭7;H-W-H-W-H-W-H;8;—;—;;FALSE
Altered scale or Super Locrian scale;1 ♭2 ♭3 ♭4 ♭5 ♭6 ♭7;H-W-H-W-W-W-W;7;diminished;whole tone;;FALSE
Locrian mode;1 ♭2 ♭3 4 ♭5 ♭6 ♭7;H-W-W-H-W-W-W;7;Phrygian;whole tone;Usual;FALSE
Neapolitan minor scale;1 ♭2 ♭3 4 5 ♭6 7;H-W-W-W-H-3H-H;7;Phrygian;harmonic;Unusual;FALSE
Phrygian mode;1 ♭2 ♭3 4 5 ♭6 ♭7;H-W-W-W-H-W-W;7;Phrygian;Phrygian;Usual;FALSE
Neapolitan major scale;1 ♭2 ♭3 4 5 6 7;H-W-W-W-W-W-H;7;Phrygian;major;Unusual;FALSE
Hungarian "Gypsy" scale/Hungarian minor scale;1 2 ♭3 ♯4 5 ♭6 7;W-H-3H-H-H-3H-H;7;Gypsy;harmonic;Unusual;FALSE
Algerian scale;1 2 ♭3 ♯4 5 ♭6 7 etc.;W-H-3H-H-H-3H-H-W-H-W;variable;—;—;;FALSE
"Gypsy" scale;1 2 ♭3 ♯4 5 ♭6 ♭7;W-H-3H-H-H-W-W;7;Gypsy;Phrygian;Unusual;FALSE
Ukrainian Dorian scale;1 2 ♭3 ♯4 5 6 ♭7;W-H-3H-H-W-H-W;7;Gypsy;minor;Unusual;FALSE
Octatonic scale 1;1 2 ♭3 4 ♭5 ♭6 6 7;W-H-W-H-W-H-W-H ;8;—;—;;FALSE
Half diminished scale;1 2 ♭3 4 ♭5 ♭6 ♭7;W-H-W-H-W-W-W;7;minor;whole tone;;FALSE
Harmonic minor scale;1 2 ♭3 4 5 ♭6 (♮)7;W-H-W-W-H-3H-H;7;minor;harmonic;;FALSE
Aeolian mode or natural minor scale;1 2 ♭3 4 5 ♭6 ♭7;W-H-W-W-H-W-W;7;minor;Phrygian;Usual;FALSE
Dorian mode;1 2 ♭3 4 5 6 ♭7;W-H-W-W-W-H-W;7;minor;minor;Usual;FALSE
Melodic minor scale (ascending);1 2 ♭3 4 5 6 7;W-H-W-W-W-W-H;7;minor;major;;FALSE
Major pentatonic scale;1 2 3 5 6;W-W-3H-W-3H;5;—;—;Usual;FALSE
Major Locrian scale;1 2 3 4 ♭5 ♭6 ♭7;W-W-H-H-W-W-W;7;major;whole tone;;FALSE
Harmonic major scale;1 2 3 4 5 ♭6 7;W-W-H-W-H-3H-H;7;major;harmonic;;FALSE
Bebop dominant scale;1 2 3 4 5 6 ♭7 7;W-W-H-W-W-H-H-H;8;—;—;;FALSE
Melodic minor scale (descending) or Mixolydian mode or Adonai malakh mode;1 2 ♭3 4 5 ♮6 ♮7 8 ♭7 ♭6 5 4 ♭3 2 1;W-W-H-W-W-H-W;9;minor;varies;;FALSE
Ionian mode or major scale;1 2 3 4 5 6 7;W-W-H-W-W-W-H;7;major;major;Usual;FALSE
Prometheus scale;1 2 3 ♯4 6 ♭7;W-W-W-3H-H-W;6;—;—;;FALSE
Acoustic scale;1 2 3 ♯4 5 6 ♭7;W-W-W-H-W-H-W;7;whole tone;minor;;FALSE
Lydian mode;1 2 3 ♯4 5 6 7;W-W-W-H-W-W-H;7;whole tone;major;Usual;FALSE
Lydian augmented scale;1 2 3 ♯4 ♯5 6 7;W-W-W-W-H-W-H;7;whole tone;diminished;;FALSE
Whole tone scale;1 2 3 ♯4 ♯5 ♯6;W-W-W-W-W-W;6;—;—;;FALSE
